"Media ID","Title","Sort title","Studio","Content Rating","Year","Rating","Summary","Genres","View Count","Last Viewed at","Tagline","Release Date","Writers","Country","Duration","Directors","Roles","IMDB Id","Labels","Locked Fields","Extras","Collections","Original Title","Added","Updated","Audio Languages","Audio Title","Subtitle Languages","Subtitle Title","Subtitle Codec","Video Resolution","Bitrate","Width","Height","Aspect Ratio","Audio Channels","Audio Codec","Video Codec","Container","Video FrameRate"
"2642","10,000 BC","N/A","Centropolis Entertainment","PG-13","2008","5.2","A prehistoric epic that follows a young
mammoth hunter's journey through
uncharted territory to secure the future
of his tribe.","Adventure - Action - Drama - Fantasy","N/A","N/A","The legend. The battle. The first hero.","2008-03-05","Harald Kloser - Roland Emmerich","USA - South Africa","1:48:54","Roland Emmerich","Steven Strait - Camilla Belle - Cliff
Curtis - Nathanael Baring - Mo Zinal -
Affif Ben Badra - Mona Hammond - Marco
Khan - Reece Ritchie - Joel Fry - Joel
Virgel - Omar Sharif - Kristian Beazley
- Junior Oliphant - Louise Tu'u - Jacob
Renton - Grayson Hunt Urwin - Farouk
Valley Omar - Boubacar Babiane","tt0443649","","","1","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","sd","901","696","284","2.35","2","mp3","mpeg4","avi","24p"
"2640","17 Again","N/A","New Line Cinema","PG-13","2009","5.9","On the brink of a midlife crisis,
30-something Mike O'Donnell wishes he
could have a ""do-over."" And that's
exactly what he gets when he wakes up
one morning to find he's 17 years old
again. With his adult mind stuck inside
the body of a teenager, Mike actually
has the chance to reverse some decisions
he wishes he'd never made. But maybe
they weren't so bad after all.","Comedy","N/A","N/A","Who says you're only young once?","2009-04-17","Jason Filardi","USA","1:41:55","Burr Steers","Zac Efron - Leslie Mann - Matthew Perry
- Tyler Steelman - Allison Miller -
Michelle Trachtenberg - Sterling Knight
- Thomas Lennon - Kat Graham - Tiya
Sircar - Melissa Ordway - Josie Loren -
Jim Gaffigan - Collette Wolfe","tt0974661","","","1","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","sd","964","608","256","2.35","2","mp3","mpeg4","avi","24p"
"2635","2 Guns","N/A","Universal Studios","R","2013","6.7","A DEA agent and an undercover Naval
Intelligence officer who have been
tasked with investigating one another
find they have been set up by the mob --
the very organization the two men
believe they have been stealing money
from.","Action - Crime - Drama - Comedy -
Thriller","N/A","N/A","2 Guns, 1 Bank.","2013-08-02","Blake Masters","USA","1:49:15","Baltasar Kormákur","Denzel Washington - Mark Wahlberg -
Paula Patton - Bill Paxton - Fred Ward -
James Marsden - Edward James Olmos -
Robert John Burke - Tait Fletcher","tt1272878","","","19","","N/A","09/20/2015","09/22/2015","N/A","N/A","N/A","N/A","srt","720","1183","1280","532","2.35","6","aac","h264","mkv","24p"
"2602","2001: A Space Odyssey","N/A","Stanley Kubrick Productions","G","1968","7.5","Humanity finds a mysterious object
buried beneath the lunar surface and
sets off to find its origins with the
help of HAL 9000, the world's most
advanced super computer.","Science Fiction - Mystery - Adventure","N/A","N/A","An epic drama of adventure and
exploration","1968-04-05","Stanley Kubrick - Arthur C. Clarke","United Kingdom - USA","2:28:51","Stanley Kubrick","Keir Dullea - Douglas Rain - Gary
Lockwood - William Sylvester - Daniel
Richter - Leonard Rossiter - Margaret
Tyzack - Robert Beatty - Sean Sullivan -
Bill Weston - Ed Bishop - Alan Gifford -
Ann Gillis - Edwina Carroll - Frank
Miller - Glenn Beck - Penny Brahms -
Heather Downham - Mike Lovell - John
Ashley - Jimmy Bell - David Charkham -
Simon Davis - Jonathan Daw - Péter
Delmár - Terry Duggan - David Fleetwood
- Danny Grover - Brian Hawley - David
Hines - Tony Jackson - John Jordan -
Scott MacKee - Laurence Marchant -
Darryl Paes - Joe Refalo - Andy Wallace
- Bob Wilyman - Richard Woods - Martin
Amor - S. Newton Anderson - Sheraton
Blount - Ann Bormann - John Clifford -
Julie Croft - Penny Francis - Kenneth
Kendall - Vivian Kubrick - Marcella
Markham - Irena Marr - Krystyna Marr -
Kim Neil - Jane Pearl - Penny Pearl -
Kevin Scott - John Swindells - Burnell
Tucker","tt0062622","","","1","","N/A","09/20/2015","09/22/2015","N/A","N/A","N/A","N/A","srt","720","802","1280","576","2.20","2","aac","h264","mp4","24p"
"726","2012","N/A","Columbia Pictures","PG-13","2009","5.6","Dr. Adrian Helmsley, part of a worldwide
geophysical team investigating the
effect on the earth of radiation from
unprecedented solar storms, learns that
the earth's core is heating up. He warns
U.S. President Thomas Wilson that the
crust of the earth is becoming unstable
and that without proper preparations for
saving a fraction of the world's
population, the entire race is doomed.
Meanwhile, writer Jackson Curtis
stumbles on the same information. While
the world's leaders race to build ""arks""
to escape the impending cataclysm,
Curtis struggles to find a way to save
his family. Meanwhile, volcanic
eruptions and earthquakes of
unprecedented strength wreak havoc
around the world.","Science Fiction - Action - Adventure","N/A","N/A","We Were Warned.","2009-10-10","Roland Emmerich - Harald Kloser","Canada - USA","2:37:49","Roland Emmerich","John Cusack - Amanda Peet - Chiwetel
Ejiofor - Thandie Newton - Oliver Platt
- Thomas McCarthy - Woody Harrelson -
Danny Glover - Liam James - Morgan Lily
- Zlatko Buric - Beatrice Rosen - Johann
Urb - John Billingsley - Chin Han -
Osric Chau - Lisa Lu - Blu Mankuma -
George Segal - Stephen McHattie - Jimi
Mistry - Ryan McDonald - Alexandre
Haussmann - John Mee","tt1190080","","","1","","N/A","09/10/2015","02/26/2016","eng - eng","N/A - Commentary","eng - fre","N/A - N/A","srt - srt","576","3193","1024","428","2.35","6","ac3","h264","mkv","24p"
"10967","2046","N/A","Paradis Films","R","2004","6.4","2046 is the sequel to Wong Kar-Wais’
successful box-office hit In The Mood
For Love. A film about affairs, ending
relationships, and a shared love for
Kung-Fu novels as the main character,
Chow, writes his own novel and reflects
back on his favorite love Su.","Fantasy - Drama - Science Fiction -
Romance","N/A","N/A","Are you still in the mood for love?","2004-05-20","Wong Kar-Wai","Germany - Hong Kong - China - France -
Italy","2:03:16","Wong Kar-Wai","Tony Leung Chiu-Wai - Zhang Ziyi - Faye
Wong - Takuya Kimura - Gong Li - Carina
Lau - Siu Ping-Lam - Maggie Cheung -
Dong Jie - Bird McIntyre - Chang Chen -
Wong Sam","tt0212712","","","1","","N/A","10/17/2015","02/26/2016","chi","N/A","eng - fre - spa","N/A - N/A - N/A","srt - srt - srt","480","2897","720","428","2.35","6","dca","h264","mkv","PAL"
"2603","21","N/A","Columbia Pictures","PG-13","2008","6.4","Ben Campbell is a young, highly
intelligent, student at M.I.T. in Boston
who strives to succeed. Wanting a
scholarship to transfer to Harvard
School of Medicine with the desire to
become a doctor, Ben learns that he
cannot afford the $300,000 for the four
to five years of schooling as he comes
from a poor, working-class background.
But one evening, Ben is introduced by
his unorthodox math professor Micky Rosa
into a small but secretive club of five.
Students Jill, Choi, Kianna, and Fisher,
who are being trained by Professor Rosa
of the skill of card counting at
blackjack.","Drama - Crime","N/A","N/A","They proved the Vegas Blackjack System
was beatable...by beating the hell out
of it.","2008-03-27","Peter Steinfeld - Allan Loeb","USA","2:02:45","Robert Luketic","Jim Sturgess - Kevin Spacey - Kate
Bosworth - Aaron Yoo - Liza Lapira -
Jacob Pitts - Laurence Fishburne - Jack
McGee - Josh Gad - Sam Golzari - Helen
Carey - Jack Gilpin - Ben Campbell","tt0478087","","","1","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","sd","799","684","276","2.35","2","mp3","mpeg4","avi","24p"
"2633","21 Jump Street","N/A","Columbia Pictures","R","2012","6.5","In high school, Schmidt was a dork and
Jenko was the popular jock. After
graduation, both of them joined the
police force and ended up as partners
riding bicycles in the city park. Since
they are young and look like high school
students, they are assigned to an
undercover unit to infiltrate a drug
ring that is supplying high school
students synthetic drugs.","Action - Comedy - Crime","N/A","N/A","They thought the streets were mean. Then
they went back to high school.","2012-03-12","Michael Bacall","USA","1:49:37","Phil Lord - Chris Miller","Channing Tatum - Jonah Hill - Brie
Larson - Ellie Kemper - Ice Cube - Dave
Franco - Nick Offerman - Rob Riggle -
Johnny Depp - Jake Johnson - Holly
Robinson Peete - Johnny Pemberton -
Caroline Aaron - Joe Chrest - Dakota
Johnson - Johnny Simmons","tt1232829","","","5","","N/A","09/20/2015","09/22/2015","N/A","jumpstreet","","","","sd","1719","624","256","2.35","6","ac3","mpeg4","avi","24p"
"2604","27 Dresses","N/A","Spyglass Entertainment","PG-13","2008","6.0","After serving as a bridesmaid 27 times,
a young woman wrestles with the idea of
standing by her sister's side as her
sibling marries the man she's secretly
in love with.","Comedy - Romance","N/A","N/A","She's about to find the perfect fit.","2008-01-10","Aline Brosh McKenna","USA","1:50:49","Anne Fletcher","Katherine Heigl - James Marsden - Malin
Åkerman - Judy Greer - Edward Burns -
Brian Kerwin - Michael Ziegfeld - Melora
Hardin - David Castro - Peyton List -
Jennifer Lim - Danielle Skraastad -
Yetta Gottesman - Erin Fogel - Bern
Cohen - Maulik Pancholy - Krysten Ritter","tt0988595","","","1","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","sd","886","664","268","2.35","2","mp3","mpeg4","avi","24p"
"2609","28 Days Later...","N/A","DNA Films","R","2003","6.8","Twenty-eight days after a killer virus
was accidentally unleashed from a
British research facility, a small group
of London survivors are caught in a
desperate struggle to protect themselves
from the infected. Carried by animals
and humans, the virus turns those it
infects into homicidal maniacs -- and
it's absolutely impossible to contain.","Horror - Thriller - Science Fiction","N/A","N/A","His fear began when he woke up alone.
His terror began when he realised he
wasn't.","2003-06-27","Alex Garland","United Kingdom","1:48:29","Danny Boyle","Cillian Murphy - Naomie Harris - Brendan
Gleeson - Christopher Eccleston - Noah
Huntley - Christopher Dunne - Emma
Hitching - Alexander Delamere - Kim
McGarrity - Megan Burns - Alex Palmer -
Bindu De Stoppani - Jukka Hiltunen -
David Schneider - Toby Sedgwick - Stuart
McQuarrie","tt0289043","","","4","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","sd","903","528","288","1.85","2","mp3","mpeg4","avi","PAL"
