"TV Show ID","Series Title","Episode Sort Title","Episode Title","Year","Season","Episode","Content Rating","Summary","Rating","Studio","Originally Aired","Directors","Writers","Duration","Added","Updated","Media Video Resolution","Media Video Duration","Media Video Bitrate","Media Video Width","Media Video Height","Media Video Aspect Ratio","Media Video Audio Channels","Media Video Audio Codec","Media Video Video Codec","Media Video Container","Media Video FrameRate","Media Video Profile","Media Video Title"
"9446","30 Rock","N/A","Jack Gets in the Game","2007","2","2","TV-14","When Jack discovers that his boss is
retiring, he decides to get in the
competition for his position. Meanwhile,
Jenna begins to enjoy her fame for being
fat and along with Jack encourages Liz
to get her act together. Finally,
Kenneth makes it his mission to get
Tracy and Angie back together.","7.6","NBC","2007-10-11","Michael Engler","Robert Carlock","0:19:53","09/23/2015","09/23/2015","sd","0:19:53","1230","624","352","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"9448","30 Rock","N/A","Into the Crevasse","2009","4","2","TV-14","Jack finds himself answering to Devin
Banks (Will Arnett) and the government's
microwave oven task force. Tracy seeks
retribution from Liz when he discovers
that most of the relationship ""deal
breakers"" in her book were based on him
still angry about a  potential new cast
member. Jenna abandons TGS to shoot a
werewolf movie in Iceland.","7.4","NBC","2009-10-22","Beth McCarthy Miller","Robert Carlock","0:21:16","09/23/2015","09/23/2015","sd","0:21:16","1149","624","352","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"9449","30 Rock","N/A","Stone Mountain","2009","4","3","TV-14","Liz and Jack engage in a clash of world
views as they search for talent in
Kenneth's Georgia hometown. Tracy is
haunted by the celebrity ""rule of
threes"" and fears that his death is
imminent. An increasingly desperate
Jenna tries to cozy up to the writers.","7.5","NBC","2009-10-29","Don Scardino","John Riggi","0:21:07","09/23/2015","09/23/2015","sd","0:21:07","1158","624","352","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"9450","30 Rock","N/A","Audition Day","2009","4","4","TV-14","Liz and Pete try to rig the TGS
auditions as everyone else jockeys for a
chance to audition for the show or, in
Tracy and Jenna's case, tries to
sabotage the proceedings. Amid the
chaos, Jack is treated like a pariah
because of a bedbug infestation.","7.5","NBC","2009-11-05","Beth McCarthy Miller","Matt Hubbard","0:21:14","09/23/2015","09/23/2015","sd","0:21:14","1152","624","352","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"9451","30 Rock","Problem Solvers","The Problem Solvers","2009","4","5","TV-14","Jack proposes that Liz host a
Dealbreakers talk show, then bristles
when she hires an agent and considers
outside producers. When the new cast
member's (Cheyenne Jackson) easy going
attitude causes Tracy and Jenna to
question their demanding ways, Kenneth
feels his role at TGS is threatened.","7.4","NBC","2009-11-12","John Riggi","Ron Weiner","0:21:09","09/23/2015","09/23/2015","sd","0:21:09","1156","624","352","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"9452","30 Rock","N/A","Dealbreakers Talk Show #0001","2009","4","7","TV-14","The pilot of her new talk show gives Liz
the chance to be the centre of
attention, while Jack feels pressure
from Devin to make it a hit. Meanwhile,
Tracy takes on the ultimate Hollywood
challenge in order to prove his
commitment to his wife, Angie (Sherri
Shepherd).","7.7","NBC","2009-12-03","Don Scardino","Kay Cannon","0:21:09","09/23/2015","09/23/2015","sd","0:21:09","1157","624","352","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"9453","30 Rock","N/A","Secret Santa","2009","4","8","TV-14","Jack reunites with his high school
crush, Nancy Donovan (Julianne Moore),
thanks to a social networking site.
Meanwhile, Liz struggles to find Jack a
perfect gift, the writers invent a
religion to avoid Kenneth's secret Santa
gift swap, and Pete enlists Danny in his
crusade for revenge against Jenna.","7.8","NBC","2009-12-10","Beth McCarthy Miller","Tina Fey","0:21:56","09/23/2015","09/23/2015","sd","0:21:56","1115","624","352","1.78","2","mp3","mpeg4","avi","24p","N/A","N/A"
"6225","The 4400","Return","The Return","2004","1","1","TV-PG","Everyone on Earth is excited about a
comet passing by, but as soon as its
trajectory changes to a collision
course, everyone starts to panic. The
comet turns out to be a giant ball of
light that, after exploding, leaves
behind 4400 people. They are missing
persons who have been gone from a few
months to 60 years, and none have aged a
day. The 4400 are put in quarantine and
eventually released. Some of the
returnees begin to exhibit strange and
uncontrollable new abilities. Tom
Baldwin and Diana Skouris, two Homeland
Security agents, are appointed to find
out what happened to the 4400.","7.6","USA Network","2004-07-11","Yves Simoneau","Scott Peters - René Echevarria","1:25:23","09/23/2015","09/23/2015","sd","1:25:23","1139","624","352","1.78","2","ac3","mpeg4","avi","24p","N/A","N/A"
"6226","The 4400","New & Improved Carl Morrissey","The New & Improved Carl Morrissey","2004","1","2","TV-PG","Carl Morrissey is a lowly supermarket
employee who happens to be one of the
4400 returned abductees. He uses his new
found powers - enhanced reflexes and
strength - to become a vigilante and
fight crime in his neighborhood.
Meanwhile, Lily is thrown in jail for
violating the restraining order while
looking in on her daughter and ex-
husband's new life. After picking up
Lily from the police, Richard and Lily
go back to the apartment they now share
and we see the romance between the two
begin to become more serious. Also,
Shawn begins to learn more about his
healing powers, and we are left with a
cliffhanger ending of whether he will
heal his cousin.","7.2","USA Network","2004-07-18","Helen Shaver","Ira Steven Behr","0:43:02","09/23/2015","09/23/2015","sd","0:43:02","1129","624","352","1.78","2","ac3","mpeg4","avi","24p","N/A","N/A"
"6227","The 4400","N/A","Becoming","2004","1","3","TV-PG","Tom and Diana are sent out to
investigate a homicide that resembles
the MO of a serial killer who was never
caught nor heard of for 21 years. The
first suspect is Oliver Knox, a member
of the 4400. However, Knox has an alibi
for the night of the murder and another
man confesses to all the crimes. Tom and
Diana suspect that Knox is luring people
to kill for him and try to lay a trap on
him. Meanwhile, people begin to turn
hostile toward the 4400, and Jordan
Collier decides to organize his fellow
returnees. But Richard feels uneasy
about Collier's interest in them.","7.3","USA Network","2004-07-25","David Straiton","Craig Sweeny","0:43:05","09/23/2015","09/23/2015","sd","0:43:05","1123","624","352","1.78","2","ac3","mpeg4","avi","24p","N/A","N/A"
