"Media ID","Title","Sort title","Studio","Content Rating","Year","Rating","Summary","Genres","View Count","Last Viewed at","Tagline","Release Date","Writers","Country","Duration","Directors","Roles","IMDB Id","Labels","Locked Fields","Extras","Collections","Original Title","Added","Updated","Audio Languages","Audio Title","Subtitle Languages","Subtitle Title","Subtitle Codec","Video Resolution","Bitrate","Width","Height","Aspect Ratio","Audio Channels","Audio Codec","Video Codec","Container","Video FrameRate"
"2465","10,000 BC","N/A","Centropolis Entertainment","PG-13","2008","5.2","A prehistoric epic that follows a young
mammoth hunter's journey through
uncharted territory to secure the future
of his tribe.","Adventure - Action - Drama - Fantasy","N/A","N/A","The legend. The battle. The first hero.","2008-03-05","Harald Kloser - Roland Emmerich","USA - South Africa","1:48:54","Roland Emmerich","Steven Strait - Camilla Belle - Cliff
Curtis - Nathanael Baring - Mo Zinal -
Affif Ben Badra - Mona Hammond - Marco
Khan - Reece Ritchie - Joel Fry - Joel
Virgel - Omar Sharif - Kristian Beazley
- Junior Oliphant - Louise Tu'u - Jacob
Renton - Grayson Hunt Urwin - Farouk
Valley Omar - Boubacar Babiane","edb://7840","","","0","","N/A","01/19/2016","01/19/2016","N/A","N/A","","","","sd","901","696","284","2.35","2","mp3","mpeg4","avi","24p"
"2418","2001: A Space Odyssey","N/A","Stanley Kubrick Productions","G","1968","7.5","Humanity finds a mysterious object
buried beneath the lunar surface and
sets off to find its origins with the
help of HAL 9000, the world's most
advanced super computer.","Science Fiction - Mystery - Adventure","N/A","N/A","An epic drama of adventure and
exploration","1968-04-05","Stanley Kubrick - Arthur C. Clarke","United Kingdom - USA","2:28:51","Stanley Kubrick","Keir Dullea - Douglas Rain - Gary
Lockwood - William Sylvester - Daniel
Richter - Leonard Rossiter - Margaret
Tyzack - Robert Beatty - Sean Sullivan -
Bill Weston - Ed Bishop - Alan Gifford -
Ann Gillis - Edwina Carroll - Frank
Miller - Glenn Beck - Penny Brahms -
Heather Downham - Mike Lovell - John
Ashley - Jimmy Bell - David Charkham -
Simon Davis - Jonathan Daw - Péter
Delmár - Terry Duggan - David Fleetwood
- Danny Grover - Brian Hawley - David
Hines - Tony Jackson - John Jordan -
Scott MacKee - Laurence Marchant -
Darryl Paes - Joe Refalo - Andy Wallace
- Bob Wilyman - Richard Woods - Martin
Amor - S. Newton Anderson - Sheraton
Blount - Ann Bormann - John Clifford -
Julie Croft - Penny Francis - Kenneth
Kendall - Vivian Kubrick - Marcella
Markham - Irena Marr - Krystyna Marr -
Kim Neil - Jane Pearl - Penny Pearl -
Kevin Scott - John Swindells - Burnell
Tucker","edb://62","","","0","","N/A","01/04/2016","01/04/2016","N/A","N/A","N/A","N/A","srt","720","802","1280","576","2.20","2","aac","h264","mp4","24p"
"2464","21","N/A","Columbia Pictures","PG-13","2008","6.5","Ben Campbell is a young, highly
intelligent, student at M.I.T. in Boston
who strives to succeed. Wanting a
scholarship to transfer to Harvard
School of Medicine with the desire to
become a doctor, Ben learns that he
cannot afford the $300,000 for the four
to five years of schooling as he comes
from a poor, working-class background.
But one evening, Ben is introduced by
his unorthodox math professor Micky Rosa
into a small but secretive club of five.
Students Jill, Choi, Kianna, and Fisher,
who are being trained by Professor Rosa
of the skill of card counting at
blackjack.","Drama - Crime","N/A","N/A","They proved the Vegas Blackjack System
was beatable...by beating the hell out
of it.","2008-03-27","Peter Steinfeld - Allan Loeb","USA","2:02:45","Robert Luketic","Jim Sturgess - Kevin Spacey - Kate
Bosworth - Aaron Yoo - Liza Lapira -
Jacob Pitts - Laurence Fishburne - Jack
McGee - Josh Gad - Sam Golzari - Helen
Carey - Jack Gilpin - Ben Campbell","edb://8065","","","0","","N/A","01/19/2016","01/19/2016","N/A","N/A","","","","sd","799","684","276","2.35","2","mp3","mpeg4","avi","24p"
"2463","21 Jump Street","N/A","Columbia Pictures","R","2012","6.6","In high school, Schmidt was a dork and
Jenko was the popular jock. After
graduation, both of them joined the
police force and ended up as partners
riding bicycles in the city park. Since
they are young and look like high school
students, they are assigned to an
undercover unit to infiltrate a drug
ring that is supplying high school
students synthetic drugs.","Action - Comedy - Crime","N/A","N/A","They thought the streets were mean. Then
they went back to high school.","2012-03-12","Michael Bacall","USA","1:49:37","Phil Lord - Chris Miller","Channing Tatum - Jonah Hill - Brie
Larson - Ellie Kemper - Ice Cube - Dave
Franco - Nick Offerman - Rob Riggle -
Johnny Depp - Jake Johnson - Holly
Robinson Peete - Johnny Pemberton -
Caroline Aaron - Joe Chrest - Dakota
Johnson - Johnny Simmons","edb://64688","","","0","","N/A","01/19/2016","01/19/2016","N/A","jumpstreet","","","","sd","1719","624","256","2.35","6","ac3","mpeg4","avi","24p"
"2462","27 Dresses","N/A","Spyglass Entertainment","PG-13","2008","6.0","After serving as a bridesmaid 27 times,
a young woman wrestles with the idea of
standing by her sister's side as her
sibling marries the man she's secretly
in love with.","Comedy - Romance","N/A","N/A","She's about to find the perfect fit.","2008-01-10","Aline Brosh McKenna","USA","1:50:49","Anne Fletcher","Katherine Heigl - James Marsden - Malin
Åkerman - Judy Greer - Edward Burns -
Brian Kerwin - Michael Ziegfeld - Melora
Hardin - David Castro - Peyton List -
Jennifer Lim - Danielle Skraastad -
Yetta Gottesman - Erin Fogel - Bern
Cohen - Maulik Pancholy - Krysten Ritter
- Brigitte Bourdeau - Charli Barcena -
Jane Pfitsch","edb://6557","","","0","","N/A","01/19/2016","01/19/2016","N/A","N/A","","","","sd","886","664","268","2.35","2","mp3","mpeg4","avi","24p"
"2461","28 Days Later...","N/A","DNA Films","R","2003","6.8","Twenty-eight days after a killer virus
was accidentally unleashed from a
British research facility, a small group
of London survivors are caught in a
desperate struggle to protect themselves
from the infected. Carried by animals
and humans, the virus turns those it
infects into homicidal maniacs -- and
it's absolutely impossible to contain.","Horror - Thriller - Science Fiction","N/A","N/A","His fear began when he woke up alone.
His terror began when he realised he
wasn't.","2003-06-27","Alex Garland","United Kingdom","1:48:29","Danny Boyle","Cillian Murphy - Naomie Harris - Noah
Huntley - Christopher Dunne - Emma
Hitching - Alexander Delamere - Kim
McGarrity - Brendan Gleeson - Megan
Burns - Justin Hackney - Luke Mably -
Stuart McQuarrie - Ricci Harnett - Leo
Bill - Junior Laniyan - Ray Panthaki -
Christopher Eccleston - Alex Palmer -
Bindu De Stoppani - Jukka Hiltunen -
David Schneider - Toby Sedgwick","edb://170","","","0","","N/A","01/19/2016","01/19/2016","N/A","N/A","","","","sd","903","528","288","1.85","2","mp3","mpeg4","avi","PAL"
"2460","28 Weeks Later","N/A","DNA Films","R","2007","6.3","In this chilling sequel to 28 Days
Later, the inhabitants of the British
Isles appear to have lost their battle
against the onslaught of disease, as the
deadly rage virus has killed every
citizen there. Six months later, a group
of Americans dare to set foot on the
isles, convinced the danger has come and
gone. But it soon becomes all too clear
that the scourge continues to live,
waiting to pounce on its next victims.","Horror - Thriller - Science Fiction","N/A","N/A","When days turn to weeks... the horror
returns.","2007-05-11","Rowan Joffe - Juan Carlos Fresnadillo -
Jesús Olmo - Enrique López Lavigne","Spain - United Kingdom","1:36:50","Juan Carlos Fresnadillo","Imogen Poots - Robert Carlyle - Rose
Byrne - Jeremy Renner - Harold Perrineau
- Catherine McCormack - Idris Elba -
Mackintosh Muggleton - Amanda Walker -
Shahid Ahmed - Garfield Morgan - Emily
Beecham - Beans El-Balawi - Meghan
Popiel - Stewart Alexander - Philip
Bulcock - Chris Ryman - Tristan Tait -
William Meredith - Matt Reeves - Thomas
Garvey - Tom Bodell - Andrew Byron -
Sarah Finigan - Roderic Culver - Maeve
Malley-Ryan - Ed Coleman - Karen Meagher
- Amanda Lawrence - Drew Rhys-Williams -
Raymond Waring - Kish Sharma - Jane
Thorne - Dean Alexandrou - Didier Dell
Benjamin - Gareth Clarke - James Fiddy -
Tommy Gunn - Daniel Jefferson - Debbie
Kurup - Selina Lo - João Costa Menezes -
Jane Osborn - Jude Poyer - Joseph Ripley
- Simon Delaney","edb://1562","","","0","","N/A","01/19/2016","01/19/2016","N/A","N/A","","","","sd","1012","668","352","1.85","2","mp3","mpeg4","avi","PAL"
"1618","3 Days to Kill","N/A","Wonderland Sound and Vision","PG-13","2014","6.0","A dangerous international spy is
determined to give up his high stakes
life to finally build a closer
relationship with his estranged wife and
daughter. But first, he must complete
one last mission - even if it means
juggling the two toughest assignments
yet: hunting down the world's most
ruthless terrorist and looking after his
teenage daughter for the first time in
ten years, while his wife is out of
town.","Action - Drama - Thriller - Crime","1","12/25/2015","The question is, kill or die?","2014-02-14","Adi Hasak - Luc Besson","USA - France - Greece - Russia","2:02:18","McG","Kevin Costner - Amber Heard - Hailee
Steinfeld - Connie Nielsen - Tómas
Lemarquis - Richard Sammel - Marc
Andréoni - Bruno Ricci - Jonas Bloquet -
Eriq Ebouaney - Joakhim Sigue - Alison
Valence - Big John - Michaël Vander-
Meiren - Paolo Calia","edb://192102","","","0","","N/A","11/30/2015","01/04/2016","eng","DTS 5.1","eng - bul - chi","SDH - N/A - N/A","srt - srt - srt","720","6748","1280","542","2.35","6","dca","h264","mkv","24p"
"2459","300","N/A","Virtual Studios","R","2006","6.9","Based on Frank Miller's graphic novel,
""300"" is very loosely based the 480 B.C.
Battle of Thermopylae, where the King of
Sparta led his army against the
advancing Persians; the battle is said
to have inspired all of Greece to band
together against the Persians, and
helped usher in the world's first
democracy.","Action - Adventure - War","N/A","N/A","Spartans, prepare for glory!","2006-12-09","Frank Miller - Zack Snyder - Kurt
Johnstad - Michael B. Gordon","USA","1:56:36","Zack Snyder","Gerard Butler - Lena Headey - Dominic
West - David Wenham - Vincent Regan -
Michael Fassbender - Tom Wisdom - Andrew
Tiernan - Andrew Pleavin - Rodrigo
Santoro - Giovani Cimmino - Tyler
Neitzel - Greg Kramer - Stephen McHattie
- Alex Ivanovici - Kelly Craig - Eli
Snyder - Tim Connolly - Marie-Julie
Rivest - Sebastian St. Germain - Peter
Mensah - Arthur Holden - Michael
Sinelnikoff - John Dunn-Hill - Dennis St
John - Neil Napier - Dylan Smith -
Maurizio Terrazzano - Robert Paradis -
Kwasi Songui - Alexandra Beaton -
Frédéric Smith - Loucas Minchillo -
Nicholas Minchillo - Tom Rack - James
Bradford - Andrew Shaver - Marcel
Jeannin - Jere Gillis - Jeremy Thibodeau
- Tyrone Benskin - Robert Maillet -
Patrick Sabongui - Leon Laderach - Dave
Lapommeray - Vervi Mauricio - Charles
Papasoff - Isabelle Champeau -
Veronique-Natale Szalankiewicz - Maéva
Nadon - David Thibodeau - David Schaap -
Jean Michel Paré - Stewart Myiow -
Andreanne Ross - Sara Giacalone -
Ariadne Bourbonnière - Isabelle Fournel
- Sandrine Merette-Attiow - Elisabeth
Etienne - Danielle Hubbard - Ruan
Vibegaard - Genevieve Guilbault - Bonnie
Mak - Amélie Sorel - Caroline Aspirot -
Gina Gagnon - Tania Trudell - Stéphanie
Aubry - Mercedes Leggett - Stephania
Gambaroff - Chanelle Lamothe - Sabrina-
Jasmine Guilbault - Manny Cortez Tuazon
- Atif Y. Siddiqi - Camille Rizkallah -
Trudi Hanley - Neon Cobran - Gary A.
Hecker - Devin Delorme - Deke Richards -
Darren Shahlavi - Marc Trottier - Duy Vo
Van - Agnieshka Wnorowska - David
Francis - James Bradford - Robin Wilcock","edb://1271","","","0","","N/A","01/19/2016","01/19/2016","N/A","N/A","","","","sd","843","656","272","2.35","2","mp3","mpeg4","avi","24p"
"2458","300: Rise of an Empire","N/A","Legendary Pictures","R","2014","6.1","Based on Frank Miller's latest graphic
novel Xerxes and told in the
breathtaking visual style of the
blockbuster ""300,"" this new chapter of
the epic saga takes the action to a
fresh battlefield--on the sea--as Greek
general Themistokles attempts to unite
all of Greece by leading the charge that
will change the course of the war. ""300:
Rise of an Empire"" pits Themistokles
against the massive invading Persian
forces led by mortal-turned-god Xerxes
and Artemesia, the vengeful commander of
the Persian navy.","Action - War","N/A","N/A","Seize your glory!","2014-03-07","Zack Snyder - Kurt Johnstad","USA","1:42:36","Noam Murro","Sullivan Stapleton - Eva Green - Lena
Headey - Callan Mulvey - David Wenham -
Rodrigo Santoro - Jack O'Connell -
Andrew Tiernan - Ashraf Barhom - Andrew
Pleavin - Hans Matheson - Peter Mensah -
Ben Turner - Christopher Boyer - Fred
Ochs - Price Carson - John Michael
Herndon - David Pevsner - Peter
Ferdinando - Igal Naor - Luke Roberts","edb://53182","","","0","","N/A","01/19/2016","01/19/2016","eng","N/A","","","","1080","2289","1920","800","2.35","2","aac","h264","mp4","24p"
