"TV Show ID","Series Title","Episode Sort Title","Episode Title","Year","Season","Episode","Content Rating","Summary","Rating","Studio","Originally Aired","Directors","Writers","Duration","Added","Updated","Media Video Resolution","Media Video Duration","Media Video Bitrate","Media Video Width","Media Video Height","Media Video Aspect Ratio","Media Video Audio Channels","Media Video Audio Codec","Media Video Video Codec","Media Video Container","Media Video FrameRate","Media Video Profile","Media Video Title"
"1715","Avatar: The Last Airbender","Boy in the Iceberg","The Boy in the Iceberg","2005","1","1","TV-Y7","Two teenage siblings (Sokka and Katara)
living in the South Pole discover a very
strange boy (Aang), along with his pet
flying bison Appa, in an iceberg. But
can they trust him when he accidentally
draws the war to their village's
doorstep?","7.7","Nickelodeon","2005-02-21","Dave Filoni","Michael Dante DiMartino - Bryan
Konietzko","0:23:29","12/19/2015","12/19/2015","480","0:23:29","1362","718","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1716","Avatar: The Last Airbender","Avatar Returns","The Avatar Returns","2005","1","2","TV-Y7","Katara and Sokka discover that Aang is
the long-lost Avatar and must rescue him
when a Firebending prince named Zuko
kidnaps him.","7.8","Nickelodeon","2005-02-21","Dave Filoni","Michael Dante DiMartino - Bryan
Konietzko","0:22:14","12/19/2015","12/19/2015","480","0:22:14","1433","718","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1717","Avatar: The Last Airbender","Southern Air Temple","The Southern Air Temple","2005","1","3","TV-Y7","Aang is excited about going home (the
Southern Airtemple) for the first time
in one hundred years, but he is shocked
to find out that the temple is deserted.
Aang tells Sokka and Katara about his
childhood as they explore the temple,
but they soon discover something that
Aang never expected. Meanwhile, Prince
Zuko must make repairs to his ship and
the only way he can do it is to dock his
ship at his rival's naval base.","7.4","Nickelodeon","2005-02-25","Lauren MacMullan","Michael Dante DiMartino","0:23:18","12/19/2015","12/19/2015","480","0:23:18","1494","718","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1720","Avatar: The Last Airbender","Warriors of Kyoshi","The Warriors of Kyoshi","2005","1","4","TV-Y7","The gang arrives at Kyoshi Island and
are captured by some Kyoshi warriors.
When Aang reveals that he is the avatar,
news quickly spreads out and suddenly
reaches to Prince Zuko who then goes to
Kyoshi Island to capture him.","7.5","Nickelodeon","2005-03-04","Giancarlo Volpe","Nick Malis","0:23:05","12/19/2015","12/19/2015","480","0:23:05","1381","718","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1721","Avatar: The Last Airbender","King of Omashu","The King of Omashu","2005","1","5","TV-Y7","Aang's abilities as an airbender are
challenged by a king.","7.6","Nickelodeon","2005-03-18","Anthony Lioi","John O'Bryan","0:23:26","12/19/2015","12/19/2015","480","0:23:26","1483","710","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1722","Avatar: The Last Airbender","N/A","Imprisoned","2005","1","6","TV-Y7","In a nearby Earth Village, the gang
meets a teenage earthbender named Haru.
This village lives in fear of the Fire
Nation, for soldiers there capture any
earthbenders they can find.","7.4","Nickelodeon","2005-03-25","Dave Filoni","Matthew Hubbard","0:23:45","12/19/2015","12/19/2015","480","0:23:45","1347","710","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1723","Avatar: The Last Airbender","Spirit World: Winter Solstice (1)","The Spirit World: Winter Solstice (1)","2005","1","7","TV-Y7","Aang and friends visit a village being
terrorized by an angry spirit. Iroh is
captured by Earth Kingdom soldiers.","7.4","Nickelodeon","2005-04-08","Lauren MacMullan","Aaron Ehasz","0:23:47","12/19/2015","12/19/2015","480","0:23:47","1458","710","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1724","Avatar: The Last Airbender","N/A","Avatar Roku: Winter Solstice (2)","2005","1","8","TV-Y7","To contact the spirit of the previous
Avatar, Aang must reach a temple in the
Fire Nation before the sun sets on the
following day. There he will learn what
he must do to restore balance to the
world. Zuko must defy his banishment to
follow Aang.","7.6","Nickelodeon","2005-04-15","Giancarlo Volpe","Michael Dante DiMartino","0:23:10","12/19/2015","12/19/2015","480","0:23:10","1498","710","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1725","Avatar: The Last Airbender","Waterbending Scroll","The Waterbending Scroll","2005","1","9","TV-Y7","After Katara attempts to teach Aang
waterbending, but realizes that he is
learning it much faster than she is, she
is desperate to improve her abilities.
When Katara inadvertently stumbles
across a waterbending scroll that can
help improve her ability while Aang is
looking at a pirate’s store, she decides
to steal it after she realizes that she
couldn’t hope to afford it; but will she
be capable of stealing from the pirates
without causing herself and her friends
trouble?","7.6","Nickelodeon","2005-04-29","Anthony Lioi","John O'Bryan","0:23:53","12/19/2015","12/19/2015","480","0:23:53","1332","718","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1702","Avatar: The Last Airbender","N/A","Jet","2005","1","10","TV-Y7","It's all about instincts...While
traveling towards the North Pole, the
group almost gets captured by the Fire
Nation.  However, when a charismatic
young man and his band of rebels attack
the Fire Nation camp and rescue them,
they learn that they are trying to
resist the Fire Nation’s motives to
expand their territory.  Katara and Aang
really enjoy their time with the band of
rebels, but Sokka soon discovers that
they aren’t as noble as meets the eye.","7.5","Nickelodeon","2005-05-06","Dave Filoni","James Eagan","0:23:42","12/19/2015","12/19/2015","480","0:23:42","1346","718","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1703","Avatar: The Last Airbender","Great Divide","The Great Divide","2005","1","11","TV-Y7","While on their way to the North Pole,
Aang and his friends arrive at a giant
canyon where two groups of refugees are
bickering over who should get to go
across.  Aang decides to walk across
with the two groups to ensure they don’t
fight one another.  However, he soon
learns that the two tribes have been
feuding for one hundred years and they
both believe their actions are
justified.  But when the predators
inside the canyon start to come out,
Aang is stuck trying to defend both
tribes from each other and the vicious
wildlife.","7.5","Nickelodeon","2005-05-20","Giancarlo Volpe","John O'Bryan","0:24:05","12/19/2015","12/19/2015","480","0:24:05","1439","718","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1704","Avatar: The Last Airbender","Storm","The Storm","2005","1","12","TV-Y7","Aang, Katara and Sokka have run out of
money.  Katara suggests Sokka get a job,
and coincidentally, they meet a
fisherman who is looking for someone to
help him out with his fishing.  But when
the fisherman recognizes Aang as the
Avatar, he blames Aang's absence for all
of the troubles of the last 100 years,
and Aang runs away on his glider.
Katara follows on Appa, and when she
finds him, Aang begins to reveal life
before he was frozen in the
iceberg.Meanwhile, Prince Zuko and
Lieutenant Jee get into a fight, but
Iroh breaks it up.  Soon thereafter, the
Lieutenant and the rest of the crew gain
a newfound respect for their leader
after learning of his past.","7.7","Nickelodeon","2005-06-03","Lauren MacMullan","Aaron Ehasz","0:24:03","12/19/2015","12/19/2015","480","0:24:03","1320","718","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
"1705","Avatar: The Last Airbender","Blue Spirit","The Blue Spirit","2005","1","13","TV-Y7","While Aang, Katara and Sokka are
traveling, Sokka gets a fever. Katara
and Aang try to help Sokka, when only
Katara catches the fever. It's up to
Aang to go up on his own to save his two
friends.But before he can get the
medicine he is captured by the newly
promoted Admiral Zhao and put in Zhao's
fortress.Will Aang save Sokka and Katara
in time?And who is this strange figure
wearing a blue demonic looking mask?","7.7","Nickelodeon","2005-06-17","Dave Filoni","Bryan Konietzko - Michael Dante
DiMartino","0:23:44","12/19/2015","12/19/2015","480","0:23:44","1458","718","480","1.33","2","ac3","h264","mkv","NTSC","main","N/A"
